Thread  	Address                 	Instruction                     	Result                                  	
000022D8	libc.so.6:psiginfo+5BE0 	mov     [ebp-5E8h], eax         	                                        	
000022D8	libc.so.6:psiginfo+5BE6 	mov     [ebp-608h], ecx         	                                        	
000022D8	libc.so.6:loc_F7D56A4C  	mov     eax, [ebp-608h]         	EAX=FF9AB33F                            	
000022D8	libc.so.6:psiginfo+5BF2 	test    eax, eax                	                                        	
000022D8	libc.so.6:psiginfo+5BF4 	jnz     loc_F7D53091            	                                        	
000022D8	libc.so.6:loc_F7D53091  	cmp     dword ptr [ebp-5A0h], 0FFFFFFFFh	CF=1 PF=0 AF=1 SF=0                     	
000022D8	libc.so.6:psiginfo+2238 	jz      loc_F7D55B17            	                                        	
000022D8	libc.so.6:psiginfo+223E 	mov     ecx, [ebp-5C0h]         	ECX=F7F22620                            	
000022D8	libc.so.6:psiginfo+2244 	mov     eax, [ecx+4]            	EAX=099F51A0                            	
000022D8	libc.so.6:psiginfo+2247 	cmp     eax, [ecx+8]            	PF=1 SF=1                               	
000022D8	libc.so.6:psiginfo+224A 	jnb     loc_F7D55AD0            	                                        	
000022D8	libc.so.6:psiginfo+2250 	mov     ecx, [ebp-5C0h]         	                                        	
000022D8	libc.so.6:psiginfo+2256 	lea     edx, [eax+1]            	EDX=099F51A1                            	
000022D8	libc.so.6:psiginfo+2259 	mov     [ecx+4], edx            	                                        	
000022D8	libc.so.6:psiginfo+225C 	movzx   eax, byte ptr [eax]     	EAX=00000031                            	
000022D8	libc.so.6:psiginfo+225F 	mov     [ebp-5A0h], eax         	                                        	
000022D8	libc.so.6:loc_F7D530C5  	mov     eax, [ebp-5CCh]         	EAX=F7F22C60                            	
000022D8	libc.so.6:psiginfo+226B 	mov     edx, [ebp-5A0h]         	EDX=00000031                            	
000022D8	libc.so.6:psiginfo+2271 	add     esi, 1                  	ESI=00000001 CF=0 PF=0 AF=0 SF=0        	
000022D8	libc.so.6:psiginfo+2274 	mov     eax, [eax+34h]          	EAX=F7E9C380                            	
000022D8	libc.so.6:psiginfo+2277 	test    byte ptr [eax+edx*2+1], 20h	PF=1 ZF=1                               	
000022D8	libc.so.6:psiginfo+227C 	jnz     loc_F7D57ADA            	                                        	
000022D8	libc.so.6:psiginfo+2282 	mov     eax, [ebp-5E0h]         	EAX=00000000                            	
000022D8	libc.so.6:psiginfo+2288 	mov     [ebp-5A0h], edi         	                                        	
000022D8	libc.so.6:psiginfo+228E 	mov     edi, esi                	EDI=00000001                            	
000022D8	libc.so.6:psiginfo+2290 	mov     ebx, [ebp-608h]         	EBX=FF9AB33F                            	
000022D8	libc.so.6:psiginfo+2296 	mov     esi, [ebp-5C0h]         	ESI=F7F22620                            	
000022D8	libc.so.6:psiginfo+229C 	and     eax, 2100h              	                                        	
000022D8	libc.so.6:psiginfo+22A1 	mov     [ebp-5BCh], eax         	                                        	
000022D8	libc.so.6:psiginfo+22A7 	jmp     short loc_F7D5317A      	                                        	
000022D8	libc.so.6:loc_F7D5317A  	mov     eax, [ebp-5A0h]         	                                        	
000022D8	libc.so.6:psiginfo+2320 	test    eax, eax                	                                        	
000022D8	libc.so.6:psiginfo+2322 	jnz     short loc_F7D53133      	                                        	
000022D8	libc.so.6:psiginfo+2324 	mov     ecx, [ebp-5BCh]         	ECX=00000000                            	
000022D8	libc.so.6:psiginfo+232A 	mov     [ebx], dl               	                                        	
000022D8	libc.so.6:psiginfo+232C 	lea     eax, [ebx+1]            	EAX=FF9AB340                            	
000022D8	libc.so.6:psiginfo+232F 	test    ecx, ecx                	                                        	
000022D8	libc.so.6:psiginfo+2331 	jnz     loc_F7D53109            	                                        	
000022D8	libc.so.6:psiginfo+2337 	mov     ebx, eax                	EBX=FF9AB340                            	
000022D8	libc.so.6:psiginfo+2339 	jmp     short loc_F7D53133      	                                        	
000022D8	libc.so.6:loc_F7D53133  	mov     eax, [ebp-5B8h]         	EAX=00000020                            	
000022D8	libc.so.6:psiginfo+22D9 	test    eax, eax                	PF=0 ZF=0                               	
000022D8	libc.so.6:psiginfo+22DB 	jle     short loc_F7D5314C      	                                        	
000022D8	libc.so.6:psiginfo+22DD 	sub     eax, 1                  	EAX=0000001F AF=1                       	
000022D8	libc.so.6:psiginfo+22E0 	mov     [ebp-5B8h], eax         	                                        	
000022D8	libc.so.6:psiginfo+22E6 	jz      loc_F7D56BBC            	                                        	
000022D8	libc.so.6:loc_F7D5314C  	mov     eax, [esi+4]            	EAX=099F51A1                            	
000022D8	libc.so.6:psiginfo+22EF 	cmp     eax, [esi+8]            	CF=1 SF=1                               	
000022D8	libc.so.6:psiginfo+22F2 	jnb     loc_F7D535B5            	                                        	
000022D8	libc.so.6:psiginfo+22F8 	lea     ecx, [eax+1]            	ECX=099F51A2                            	
000022D8	libc.so.6:psiginfo+22FB 	mov     [esi+4], ecx            	                                        	
000022D8	libc.so.6:psiginfo+22FE 	movzx   edx, byte ptr [eax]     	                                        	
000022D8	libc.so.6:loc_F7D53161  	mov     ecx, [ebp-5CCh]         	ECX=F7F22C60                            	
000022D8	libc.so.6:psiginfo+2307 	lea     eax, [edi+1]            	EAX=00000002                            	
000022D8	libc.so.6:psiginfo+230A 	mov     ecx, [ecx+34h]          	ECX=F7E9C380                            	
000022D8	libc.so.6:psiginfo+230D 	test    byte ptr [ecx+edx*2+1], 20h	CF=0 PF=1 AF=0 ZF=1 SF=0                	
000022D8	libc.so.6:psiginfo+2312 	jnz     loc_F7D55CC2            	                                        	
000022D8	libc.so.6:psiginfo+2318 	mov     edi, eax                	EDI=00000002                            	
000022D8	libc.so.6:loc_F7D5317A  	mov     eax, [ebp-5A0h]         	EAX=00000000                            	
000022D8	libc.so.6:psiginfo+2320 	test    eax, eax                	                                        	
000022D8	libc.so.6:psiginfo+2322 	jnz     short loc_F7D53133      	                                        	
000022D8	libc.so.6:psiginfo+2324 	mov     ecx, [ebp-5BCh]         	ECX=00000000                            	
000022D8	libc.so.6:psiginfo+232A 	mov     [ebx], dl               	                                        	
000022D8	libc.so.6:psiginfo+232C 	lea     eax, [ebx+1]            	EAX=FF9AB341                            	
000022D8	libc.so.6:psiginfo+232F 	test    ecx, ecx                	                                        	
000022D8	libc.so.6:psiginfo+2331 	jnz     loc_F7D53109            	                                        	
000022D8	libc.so.6:psiginfo+2337 	mov     ebx, eax                	EBX=FF9AB341                            	
000022D8	libc.so.6:psiginfo+2339 	jmp     short loc_F7D53133      	                                        	
000022D8	libc.so.6:loc_F7D53133  	mov     eax, [ebp-5B8h]         	EAX=0000001F                            	
000022D8	libc.so.6:psiginfo+22D9 	test    eax, eax                	PF=0 ZF=0                               	
000022D8	libc.so.6:psiginfo+22DB 	jle     short loc_F7D5314C      	                                        	
000022D8	libc.so.6:psiginfo+22DD 	sub     eax, 1                  	EAX=0000001E PF=1                       	
000022D8	libc.so.6:psiginfo+22E0 	mov     [ebp-5B8h], eax         	                                        	
000022D8	libc.so.6:psiginfo+22E6 	jz      loc_F7D56BBC            	                                        	
000022D8	libc.so.6:loc_F7D5314C  	mov     eax, [esi+4]            	EAX=099F51A2                            	
000022D8	libc.so.6:psiginfo+22EF 	cmp     eax, [esi+8]            	CF=1 PF=0 AF=1 SF=1                     	
000022D8	libc.so.6:psiginfo+22F2 	jnb     loc_F7D535B5            	                                        	
000022D8	libc.so.6:psiginfo+22F8 	lea     ecx, [eax+1]            	ECX=099F51A3                            	
000022D8	libc.so.6:psiginfo+22FB 	mov     [esi+4], ecx            	                                        	
000022D8	libc.so.6:psiginfo+22FE 	movzx   edx, byte ptr [eax]     	                                        	
000022D8	libc.so.6:loc_F7D53161  	mov     ecx, [ebp-5CCh]         	ECX=F7F22C60                            	
000022D8	libc.so.6:psiginfo+2307 	lea     eax, [edi+1]            	EAX=00000003                            	
000022D8	libc.so.6:psiginfo+230A 	mov     ecx, [ecx+34h]          	ECX=F7E9C380                            	
000022D8	libc.so.6:psiginfo+230D 	test    byte ptr [ecx+edx*2+1], 20h	CF=0 PF=1 AF=0 ZF=1 SF=0                	
000022D8	libc.so.6:psiginfo+2312 	jnz     loc_F7D55CC2            	                                        	
000022D8	libc.so.6:psiginfo+2318 	mov     edi, eax                	EDI=00000003                            	
000022D8	libc.so.6:loc_F7D5317A  	mov     eax, [ebp-5A0h]         	EAX=00000000                            	
000022D8	libc.so.6:psiginfo+2320 	test    eax, eax                	                                        	
000022D8	libc.so.6:psiginfo+2322 	jnz     short loc_F7D53133      	                                        	
000022D8	libc.so.6:psiginfo+2324 	mov     ecx, [ebp-5BCh]         	ECX=00000000                            	
000022D8	libc.so.6:psiginfo+232A 	mov     [ebx], dl               	                                        	
000022D8	libc.so.6:psiginfo+232C 	lea     eax, [ebx+1]            	EAX=FF9AB342                            	
000022D8	libc.so.6:psiginfo+232F 	test    ecx, ecx                	                                        	
000022D8	libc.so.6:psiginfo+2331 	jnz     loc_F7D53109            	                                        	
000022D8	libc.so.6:psiginfo+2337 	mov     ebx, eax                	EBX=FF9AB342                            	
000022D8	libc.so.6:psiginfo+2339 	jmp     short loc_F7D53133      	                                        	
000022D8	libc.so.6:loc_F7D53133  	mov     eax, [ebp-5B8h]         	EAX=0000001E                            	
000022D8	libc.so.6:psiginfo+22D9 	test    eax, eax                	ZF=0                                    	
000022D8	libc.so.6:psiginfo+22DB 	jle     short loc_F7D5314C      	                                        	
000022D8	libc.so.6:psiginfo+22DD 	sub     eax, 1                  	EAX=0000001D                            	
000022D8	libc.so.6:psiginfo+22E0 	mov     [ebp-5B8h], eax         	                                        	
000022D8	libc.so.6:psiginfo+22E6 	jz      loc_F7D56BBC            	                                        	
000022D8	libc.so.6:loc_F7D5314C  	mov     eax, [esi+4]            	EAX=099F51A3                            	
000022D8	libc.so.6:psiginfo+22EF 	cmp     eax, [esi+8]            	CF=1 AF=1 SF=1                          	
000022D8	libc.so.6:psiginfo+22F2 	jnb     loc_F7D535B5            	                                        	
000022D8	libc.so.6:psiginfo+22F8 	lea     ecx, [eax+1]            	ECX=099F51A4                            	
000022D8	libc.so.6:psiginfo+22FB 	mov     [esi+4], ecx            	                                        	
000022D8	libc.so.6:psiginfo+22FE 	movzx   edx, byte ptr [eax]     	EDX=0000000A                            	
000022D8	libc.so.6:loc_F7D53161  	mov     ecx, [ebp-5CCh]         	ECX=F7F22C60                            	
000022D8	libc.so.6:psiginfo+2307 	lea     eax, [edi+1]            	EAX=00000004                            	
000022D8	libc.so.6:psiginfo+230A 	mov     ecx, [ecx+34h]          	ECX=F7E9C380                            	
000022D8	libc.so.6:psiginfo+230D 	test    byte ptr [ecx+edx*2+1], 20h	CF=0 PF=0 AF=0 SF=0                     	
000022D8	libc.so.6:psiginfo+2312 	jnz     loc_F7D55CC2            	                                        	
000022D8	libc.so.6:loc_F7D55CC2  	mov     esi, edi                	ESI=00000003                            	
000022D8	libc.so.6:psiginfo+4E64 	mov     [ebp-608h], ebx         	                                        	
000022D8	libc.so.6:psiginfo+4E6A 	mov     edi, [ebp-5A0h]         	EDI=00000000                            	
000022D8	libc.so.6:psiginfo+4E70 	mov     [ebp-5A0h], edx         	                                        	
000022D8	libc.so.6:loc_F7D55CD6  	movzx   eax, byte ptr [ebp-5A0h]	EAX=0000000A                            	
000022D8	libc.so.6:psiginfo+4E7D 	sub     esp, 8                  	ESP=FF9AACC8 AF=1 SF=1                  	
000022D8	libc.so.6:psiginfo+4E80 	push    eax                     	ESP=FF9AACC4                            	
000022D8	libc.so.6:psiginfo+4E81 	push    dword ptr [ebp-5C0h]    	ESP=FF9AACC0                            	
000022D8	libc.so.6:psiginfo+4E87 	call    near ptr _IO_sputbackc  	ESP=FF9AACBC                            	
000022D8	libc.so.6:_IO_sputbackc 	endbr32                         	                                        	
000022D8	libc.so.6:_IO_sputbackc+4	call    near ptr unk_F7E69E3D   	ESP=FF9AACB8                            	
000022D8	libc.so.6:unk_F7E69E3D  	mov     edx, [esp]              	EDX=F7D781D9                            	
000022D8	libc.so.6:__frame_state_for+3A0	retn                            	ESP=FF9AACBC                            	
000022D8	libc.so.6:_IO_sputbackc+9	add     edx, 1A9E27h            	EDX=F7F22000 PF=1                       	
000022D8	libc.so.6:_IO_sputbackc+F	push    edi                     	ESP=FF9AACB8                            	
000022D8	libc.so.6:_IO_sputbackc+10	push    esi                     	ESP=FF9AACB4                            	
000022D8	libc.so.6:_IO_sputbackc+11	push    ebx                     	ESP=FF9AACB0                            	
000022D8	libc.so.6:_IO_sputbackc+12	mov     esi, [esp+10h]          	ESI=F7F22620                            	
000022D8	libc.so.6:_IO_sputbackc+16	mov     ebx, [esp+14h]          	EBX=0000000A                            	
000022D8	libc.so.6:_IO_sputbackc+1A	mov     eax, [esi+4]            	EAX=099F51A4                            	
000022D8	libc.so.6:_IO_sputbackc+1D	cmp     eax, [esi+0Ch]          	PF=0 AF=0 SF=0                          	
000022D8	libc.so.6:_IO_sputbackc+20	jbe     short near ptr unk_F7D781F7	                                        	
000022D8	libc.so.6:_IO_sputbackc+22	cmp     [eax-1], bl             	PF=1 ZF=1                               	
000022D8	libc.so.6:_IO_sputbackc+25	jz      short near ptr unk_F7D78230	                                        	
